,Layer
ZT12B868,3
ZT12B869,8
ZT12B870,6
ZT12B871,3
ZT12B872,3
ZT12B873,7
ZT12B874,3
ZT12B875,8
ZT12B876,4
ZT12B877,3
ZT12B878,4
ZT12B879,7
ZT12B880,8
ZT12B881,3
ZT12B882,4
ZT12B883,8
ZT12B884,6
ZT12B885,1
ZT12B886,8
ZT12B887,4
ZT12B888,6
ZT12B889,4
ZT12B890,3
ZT12B891,3
ZT12B892,3
ZT12B893,7
ZT12B894,2
ZT12B895,6
ZT12B896,7
ZT12B897,8
ZT12B898,4
ZT12B899,8
ZT12B900,6
ZT12B901,6
ZT12B902,1
ZT12B903,6
ZT12B904,7
ZT12B905,3
ZT12B906,6
ZT12B907,7
ZT12B908,4
ZT12B909,8
ZT12B910,3
ZT12B911,8
ZT12B912,8
ZT12B913,2
ZT12B914,2
ZT12B915,6
ZT12B916,8
ZT12B917,3
ZT12B918,1
ZT12B919,5
ZT12B920,8
ZT12B921,8
ZT12B922,7
ZT12B923,3
ZT12B924,7
ZT12B925,7
ZT12B926,2
ZT12B927,1
ZT12B928,6
ZT12B929,8
ZT12B930,7
ZT12B931,6
ZT12B932,3
ZT12B933,3
ZT12B934,4
ZT12B935,6
ZT12B936,8
ZT12B937,7
ZT12B938,8
ZT12B939,3
ZT12B940,7
ZT12B941,3
ZT12B942,8
ZT12B943,4
ZT12B944,7
ZT12B945,4
ZT12B946,8
ZT12B947,7
ZT12B948,2
ZT12B949,8
ZT12B950,4
ZT12B951,6
ZT12B952,6
ZT12B953,3
ZT12B954,1
ZT12B955,7
ZT12B956,1
ZT12B957,6
ZT12B958,6
ZT12B959,3
ZT12B960,7
ZT12B961,7
ZT12B962,8
ZT12B963,1
ZT12B964,7
ZT12B965,3
ZT12B966,8
ZT12B967,8
ZT12B968,3
ZT12B969,1
ZT12B970,6
ZT12B971,8
ZT12B972,8
ZT12B973,4
ZT12B974,8
ZT12B975,2
ZT12B976,6
ZT12B977,4
ZT12B978,7
ZT12B979,8
ZT12B980,4
ZT12B981,6
ZT12B982,6
ZT12B983,7
ZT12B984,7
ZT12B985,6
ZT12B986,8
ZT12B987,4
ZT12B988,8
